genre1,genre2,genre3,Country1,Country2,Country3,Releas_date,Main_Acter,Director1,Director2,Director3,type,title,release_year,rating,duration
Comedies,International Movies,,Hong Kong,,,אפר-30,Francis Chun-Yu Ng,Robert O. Peters,,,Movie,A Home with A View,2019,5.8,92 min
International TV Shows,TV Dramas,TV Horror,none,,,ספט-01,Eli Shi,ֳlvaro Brechner,,,TV Show,A House of Blocks,2017,6.7,1 Season
Thrillers,,,United States,,,מאי-01,Patrick Wilson,Sofia Coppola,,,Movie,A Kind of Murder,2016,5.3,96 min
International TV Shows,Korean TV Shows,Romantic TV Shows,South Korea,,,מרץ-05,Lee Seung-gi,Neeraj Pandey,,,TV Show,A Korean Odyssey,2017,8.6,1 Season
Dramas,International Movies,,France,Netherlands,Singapore,אפר-13,Peter Yu,Gregory Caruso,,,Movie,A Land Imagined,2019,6.3,95 min
Documentaries,,,United States,,,אוג-27,bam,Justin G. Dyck,,,Movie,A Leaf of Faith,2018,7.7,87 min
Dramas,Independent Movies,International Movies,United Kingdom,,,אפר-17,Kate Winslet,Ava DuVernay,,,Movie,A Little Chaos,2014,6.7,113 min
Stand-Up Comedy & Talk Shows,TV Comedies,,United States,,,מאי-04,Carol Burnett,K. Rajagopal,,,TV Show,A Little Help with Carol Burnett,2018,6.6,1 Season
International TV Shows,Romantic TV Shows,Teen TV Shows,China,,,אוק-26,Lai Kuan-lin,Kazuya Murata,,,TV Show,A Little Thing Called First Love,2019,8.5,1 Season
International TV Shows,Romantic TV Shows,TV Dramas,none,,,אפר-20,Hu Yitian,Rusty Nixon,,,TV Show,A Love So Beautiful,2017,8.5,1 Season
Dramas,International Movies,Romantic Movies,Philippines,,,מרץ-14,Maricel Soriano,Oliver Daly,,,Movie,A Love Story,2007,7.7,117 min
Crime TV Shows,International TV Shows,Korean TV Shows,South Korea,,,מרץ-12,Song Il-gook,ֳ–mer Faruk Sorak,,,TV Show,A Man Called God,2010,6.4,1 Season
Comedies,International Movies,Sports Movies,France,,,אוק-15,Gֳ©rard Depardieu,Midhun Manuel Thomas,,,Movie,A Mighty Team,2016,0,97 min
Comedies,International Movies,,none,,,אפר-25,Edward,Indrajit Nattoji,,,Movie,A Mission in an Old Movie,2012,0,98 min
Dramas,Thrillers,,United Arab Emirates,United States,,יול-22,Oscar Isaac,Chandrakant Kulkarni,,,Movie,A Most Violent Year,2014,7,125 min
Documentaries,,,United States,,,אפר-28,bam,Rajiv Mehra,,,Movie,A Murder in the Park,2014,7.3,91 min
Documentaries,International Movies,,Brazil,,,יונ-12,bam,V C Abhilash,,,Movie,A new Capitalism,2017,6.5,76 min
Comedies,Cult Movies,,United States,,,דצמ-01,Will Ferrell,Raj Kumar Gupta,,,Movie,A Night at the Roxbury,1998,6.5,82 min
Dramas,International Movies,,Netherlands,,,ספט-01,Gijs Scholten van Aschat,Prakash Jha,,,Movie,A Noble Intention,2015,6.8,111 min
Dramas,Thrillers,,United Kingdom,,,אפר-15,Stephen Graham,Nagesh Kukunoor,,,Movie,A Patch of Fog,2015,6.6,92 min
Dramas,Independent Movies,LGBTQ Movies,United States,,,ינו-01,Barbara Niven,Umesh Mehra,,,Movie,A Perfect Ending,2012,6.5,110 min
Dramas,Independent Movies,Romantic Movies,United States,,,יונ-06,Liev Schreiber,Uttung Shelar,,,Movie,A Perfect Man,2013,5.4,94 min
