Janner1,Janner2,Janner3,Country1,Country2,Country3,Main_Acter,Director1,Director2,Director3,type,release_year,rating,duration[Seasons/Min],,,,,
7,10,29,6,,,176,2357,,,1,61,1,117,,,,-0.22720164,duration[Seasons/Min]
7,2,10,6,,,177,2486,,,1,65,3,126,,,,,
4,10,,6,,,178,1906,,,1,40,1,148,,,,,
2,28,10,6,,,179,2477,,,1,70,2,122,,,,Correlations (rating),
10,18,,6,,,180,2810,,,1,60,3,95,,,,0.083870763,janner 1 
2,10,,6,,,181,201,,,1,63,2,164,,,,0.043960055,janner 2
2,10,,6,,,182,452,,,1,62,3,115,,,,0.01615647,janner 3
2,10,29,6,,,183,69,1962,,1,45,1,154,,,,0.081434797,country 1
7,2,10,6,,,184,2172,,,1,62,1,133,,,,-0.009858073,country 2
3,10,18,10,,,185,2655,,,1,71,1,110,,,,0.075815414,country 3
7,2,10,6,,,186,814,,,1,67,1,127,,,,-0.00234592,Main_Acter
2,10,29,6,,,187,2287,,,1,67,1,146,,,,0.001238892,Director1
2,10,,6,,,187,2436,1275,,1,65,2,136,,,,-0.0218702,Director2
4,2,10,15,,,188,2855,,,1,64,1,100,,,,-0.050059383,Director3
6,,,4,,,12,552,,,1,69,2,90,,,,-0.288221748,type
2,10,,29,,,189,1055,187,,1,68,2,88,,,,-0.05231881,release_year
7,10,11,6,,,190,672,,,1,68,2,131,,,,1,rating
1,,19,22,,,191,1812,,,0,69,2,2,,,,-0.189537573,duration[Seasons/Min]
13,7,,4,,,192,558,,,1,64,1,44,,,,,
7,2,10,21,4,19,193,1307,,,1,54,2,101,,,,,
7,2,10,21,,,194,1307,,,1,65,3,123,,,,,
15,,,4,,,195,1726,3099,,0,71,3,2,,,,Correlations (duration[Seasons/Min]),
5,1,,22,,,196,1952,,,0,71,3,1,,,,-0.282546883,janner 1 
2,10,,24,,,197,1230,,,1,67,1,90,,,,-0.214404807,janner 2
7,2,10,2,,,198,1361,,,1,68,1,89,,,,-0.205711464,janner 3
10,18,,23,,,199,2752,,,1,61,2,87,,,,-0.128076075,country 1
1,30,23,4,,,200,1342,,,0,70,3,1,,,,0.064308524,country 2
2,,,4,,,201,2941,,,1,65,2,24,,,,0.066040338,country 3
2,17,,12,,,202,932,,,1,67,1,88,,,,-0.059185661,Main_Acter
2,29,35,4,21,,203,3115,,,1,59,3,133,,,,0.004109538,Director1
4,10,,5,4,,204,581,,,1,62,2,112,,,,0.051849953,Director2
13,7,10,6,,,205,1128,,,1,62,1,129,,,,0.192059318,Director3
4,10,,40,4,,206,600,,,1,69,1,87,,,,0.889312082,type
5,1,22,19,,,207,693,,,0,70,2,1,,,,-0.22720164,release_year
20,,,4,,,208,1500,,,1,71,1,59,,,,-0.379075146,rating
23,,,4,,,209,1988,,,0,70,3,1,,,,1,duration[Seasons/Min]
20,,,4,,,210,3226,,,1,70,3,74,,,,,
2,,,4,,,211,2345,,,1,38,3,96,,,,,
20,,,4,,,212,931,,,1,70,1,59,,,,,
7,10,18,6,,,12,3142,,,1,70,1,105,,,,,
20,,,6,,,213,3143,,,1,69,1,63,,,,,
2,28,10,30,19,,214,1747,,,1,65,2,111,,,,,
3,28,10,6,,,215,2532,,,1,69,1,99,,,,,
2,28,11,4,,,216,2532,,,1,67,2,92,,,,,
7,,,12,4,,217,1084,,,1,70,1,86,,,,,
15,27,,4,,,12,85,,,0,70,2,1,,,,,
9,15,1,21,,,218,2148,,,0,65,3,1,,,,,
2,35,,4,,,219,2592,3302,,1,71,1,106,,,,,
9,1,23,21,,,220,923,,,0,71,3,1,,,,,
