@relation netflix_Alg

@attribute Janner1 numeric
@attribute Janner2 numeric
@attribute Janner3 numeric
@attribute Country1 numeric
@attribute Country2 numeric
@attribute Main_Acter numeric
@attribute Director1 numeric
@attribute Director2 numeric
@attribute release_year numeric
@attribute rating numeric
@attribute duration[Seasons/Min] numeric

@data
20,?,?,4,?,418,2641,?,67,2,58
20,?,?,4,?,418,2967,?,65,2,80
20,?,?,4,?,418,1790,?,71,3,65
2,28,10,6,?,419,2983,?,65,2,99
2,10,?,6,?,420,2888,?,69,1,126
16,5,1,37,?,421,2737,?,70,3,1
4,10,?,6,?,422,1901,?,69,1,135
4,10,?,6,?,116,819,?,68,1,127
4,2,10,6,?,423,1661,?,69,1,165
4,2,10,6,?,423,2949,?,69,1,166
4,2,10,6,?,423,1771,?,69,1,166
4,2,10,6,?,423,1849,?,67,1,138
4,2,10,6,?,423,2423,?,67,1,159
4,2,10,6,?,423,2211,?,67,1,160
4,2,10,6,?,423,3139,?,67,1,159
2,10,?,6,?,183,2467,?,70,2,136
2,10,?,5,?,424,2423,?,57,3,112
2,28,?,19,4,425,2477,?,58,3,143
1,22,?,16,?,426,1284,?,71,2,2
9,1,27,21,?,427,812,?,70,3,2
7,10,35,6,?,428,812,?,71,3,127
5,1,22,26,?,429,812,?,69,3,2
6,10,?,6,?,12,812,?,68,2,61
7,2,10,1,?,430,1418,?,68,1,95
13,17,?,30,?,431,2795,?,71,1,86
16,1,?,37,?,432,2743,?,70,1,1
1,30,23,32,?,433,1637,?,68,3,1
7,10,?,10,?,434,1599,?,71,1,84
7,10,35,8,?,435,2735,?,67,2,111
1,27,30,10,?,12,2622,?,70,2,1
3,28,18,12,?,436,2189,?,66,1,92
4,2,?,4,?,437,930,?,71,1,102
2,28,18,4,?,438,1307,?,71,1,97
2,18,?,30,21,439,2788,?,67,1,90
5,22,?,12,?,440,2079,?,71,3,2
4,7,?,4,?,441,1307,?,47,2,119
4,7,?,4,?,441,1307,?,55,2,147
28,10,18,21,?,442,1437,?,69,2,99
9,23,?,21,?,443,601,?,66,2,3
10,18,?,8,?,444,601,?,69,3,130
7,?,?,4,?,445,1647,3331,66,2,87
5,1,?,22,?,446,1297,3327,66,3,1
5,1,?,22,?,447,2423,?,70,3,1
18,?,?,3,4,448,2879,?,69,1,83
6,29,?,4,12,449,3160,3323,68,2,83
7,2,10,19,52,450,1210,?,70,3,105
1,22,?,6,?,451,1015,3559,65,1,1
2,10,?,6,?,452,2771,?,58,2,91
10,18,?,6,?,181,2946,?,71,3,117
16,1,?,37,?,453,2272,?,70,2,2
16,12,?,37,12,454,2095,?,70,1,1
1,34,22,49,?,455,894,?,68,3,1
13,2,?,4,?,456,1905,?,47,2,78
13,?,?,4,?,457,1117,?,53,2,75
13,?,?,4,?,457,2077,?,56,2,78
10,35,?,29,?,458,2938,?,69,3,149
7,10,35,5,?,459,1926,?,67,3,103
7,10,?,9,?,460,2539,?,69,2,108
7,2,28,4,?,461,1515,?,69,2,94
4,7,28,4,?,462,125,?,67,2,95
4,2,10,6,?,463,2638,?,30,1,141
4,10,?,8,?,464,179,?,62,1,122
7,2,10,6,?,465,1653,?,67,1,134
1,30,23,10,?,466,1374,?,68,1,1
1,23,22,10,?,467,668,?,71,1,1
2,10,?,8,?,468,1950,?,54,1,107
1,30,22,10,?,469,1009,?,70,2,1
1,30,22,10,?,470,698,?,70,3,1
1,30,22,8,?,471,1171,?,71,1,1
